Document name,about_pharmacy_refusals,Additional notes
"In 303 Creative , By Happily Helping One Bigot, SCOTUS (Perhaps Inadvertently) Helped The Larger Fig",,
"In Backing Russia on Ukraine , Iran Is on the Wrong Side of History",,
"In polygamous communities, deep roots of distrust shape vaccine hesitancy",,
ISBE Emergency Rules Regarding Mandatory Vaccinations,,
"Israel _ Ongoing Links, Memes, and Commentary",,
ItGÇÖs Now Legal in Florida for Doctors to Deny Health Care to Anyone If They Feel Like It,,
Joan Biskupic Breaks Some News About Pavan v. Smith and Masterpiece Cakeshop,,
"Judge orders Cinci hospital to treat COVID-19 patient with Ivermectin, despite CDC warnings",,
Judge signals he could rule to halt sales of common abortion pill,,
Karnataka Hijab Row_ Competitive Communalism And Patriarchal Politics GÇô OpEd,,
"Leahy, Sanders vote to change filibuster rules in failed attempt to advance voting rights bill",,
Legislature passes physician 'freedom' bill backed by Gov. DeSantis,,
Let's Talk About The HHS _Conscience_ Protections For Healthcare Employees,,
LGBTQ rights_ Where do Harris and Trump stand_,,
Liberty For AOC But Not For Thee GÇô OpEd,,
"Like The House Dems, The Senate Dems Passed Biden's Hideous Turd Sandwich",,
Litigation Over COVID-19 Policies Continues,,
Little Emperors,,
Local School Board Continues to Arrest Parents for Not Wearing Masks,,
Longtime talk show host goes authoritarian,,
Louisiana GÇÖs Ten Commandments Law is Supreme Court Bait,,
Mandating COVID-19 Vaccinations Of Employees_ EEOC Guidance On EEO Law Considerations,,
Mandatory Employee COVID Tests Don't Violate Religious Freedom Rights or Fourth Amendment,,
"Mandatory Vaccination Policy Lawsuit Update_ Nurses Take a Shot Against Hospital, But Judge Jabs Bac",,
May Employers Mandate COVID-19 Vaccines_,,
"McDermottPlus Check-Up_ January 12, 2024",,
"McDermottPlus Check-Up_ January 18, 2019",,
Measles outbreaks show legal challenges of balancing personal rights and public good,,
Medical Treatment Issues in Workers' Compensation Cases,,
"Medicine doesn't just have 'conscientious objectors' _ there are 'conscientious providers,' too",,
Meghan McCain Refuses Ozempic Post Pregnancy_ 'Clear Moral Issue',,
Mental Health Watchdog Applauds New Mexico Lawmakers for Protecting Children from Forced Psychotropi,,
Michael Moore Demands Walgreens Boycott Amid Abortion Pill Ban_ 'Be Relentless',,
Michael Mukasey GÇö With A Straight Face GÇö Argues That Maintaining Friendships Is More Important Than,,
Michigan House passes religious freedom bill,,
Michigan House Passes Religious Protection Legislation,,
Michigan House Protects Sacred Freedom To Tell Gays To Go To Hell,,
Misinformation clouds America GÇÖs most popular emergency contraception,,
Missouri Woman Says Walgreens Denied Her Miscarriage Meds After Losing Baby,,
Moral InjuryGÇöThe Ongoing Fight To Bring Our Afghan Allies Home _ Opinion,,
Moralistic Preening' and Broken Commitments Under the Washington PrinciplesGÇöNinth Circuit Chastises,,
Morality Police In Iran _ Guardian Of Tradition Or Symbol Of Repression_ GÇô Analysis,,
Mother's Recurring Condemnation of 13-Year-Old Son's Homosexuality as Child Neglect,,
MSNBC Assists in Trying to Cancel WNBA Owner for Defending American Values,,
Nancy Pelosi Sticks Lump of Impeachment Up Trump's Stocking,,
Navigating the 'Tridemic'_ Employer Considerations in Mandatory Vaccination Policies,,
NBA 's Jonathan Isaac Blasts Media for 'Blatant Miscarriage' of Vaccine Information_ 'Why Does CNN L,,
"NBC Frets Pharmacists Refusing to Fill Abortion, Transgender Prescriptions",,
Nevada Moves to Approve End-of-Life Pill for Terminally Ill,,
"Nevada Woman Allegedly Tried to Murder Newborn After Home Birth, Believed Victim Was a 'Devil Baby'",,
New Hampshire 's Ten New Health Freedom Laws Summarized,,
New Health Insurance Law Lets Employers Refuse To Cover Contraceptives If They're Morally Opposed To,,
New Jersey High Court Updates State's Arbitration Case Law to Reflect Modern Business Practice,,
New OSHA and CMS COVID-19 Vaccination & Testing Mandates,,
New OSHA and CMS COVID-19 Vaccination & Testing Mandates_ What Employers Need to Know,,
New Tennessee and Alabama Laws Restrict Employer COVID-19 Vaccination Mandates,,
"Newsletter on health, safety and working conditions - France - First Semester 2024",,
Next frontier in the abortion wars_ Your local CVS,,
NYC Teachers Win Jobs Back With Backpay After Refusing COVID-19 Vaccine,,
Ohio 's Fresh Start Act Creates a Path to Professional Licensure for those with Prior Convictions,,
Ohio Allows Doctors to Deny LGBTQ Health Care on Moral Grounds,,
Ohio Issue 1's reproductive rights amendment and protection of access to contraception,,
Ohio Trial Court Decision Denying Ivermectin Injunction,,
Olympic Medical Center board candidates mull abortion services,,
OMC board candidates mull abortion services,,
"On Juneteenth, LetGÇÖs Examine the Link Between MAGA and the Old South",,
"Once again, NH Reps want to destroy Parental Authority 'for a minor without parental consent' with a",,
Ones to Watch_ Legislation Landscape for 2024,,
OPINION_ Israeli _ Palestinian Conflict_ Who Is To Blame_,,
OPINION_ Nigeria 's Real Enemies,,
Oral Arguments in FDA v. Alliance for Hippocratic Medicine_ Mifepristone Case Likely to Turn on Arti,,
Oregon Health Authority Releases Mandatory Vaccine Rule and Religious_Medical Exemption Forms for He,,
Oregon OSHA Issues New Guidance for Fully Vaccinated Employees,,
Oregon Over-the-Counter Birth Control Law a Win for All Women,,
OSHA Issues Emergency Temporary Standard Vaccination_Testing Rules,,
Our State's Medical System Needs a Freedom Reset,,
Over 11K in Air National Guard and Reserve Miss Vax Deadline; Half Await Religious Exemption,,
Palestinian liberation is the grammar of our freedom -On the moral bankruptcy of the University,,
Paper of Record tells Tall Tale of Canada Pushing Democracy,,
Part Five of the COVID-19 Roadmap Series_ Ensuring a Safe Workplace - COVID-19 Screening and Testing,,
"Pastor again defies state order not to hold large gatherings. He says 1,000 people came to his churc",,
Patients face barriers to routine care as doctors warn of ripple effects from broad abortion bans,,
Perfidy In Tehran GÇô OpEd,,
Pharmacists' conscience right not to sell contraceptives protected by Spanish High Court,,
Pharmacists' petition on contraception dismissed by SC of United States of America,,
Plan B' Review_ A Fresh Addition to the Burgeoning 'BFF Reproductive Health Road Trip' Genre,,
Pluribus AM_ Conn. takes stab at AI regulations; Colo. Gov signs climate bills; DeSantis signs medic,,
Pluribus AM_ Greg Abbott's $12 million voucher play,,
"Poland Is Trying to Make Abortion Dangerous, Illegal, and Impossible",,
Political Compromises and the Coup Attempt,,
Post-Roe health provider survey finds abortion bans create bad outcomes and distress,,
"Post-Roe, doctors worry about what constitutes lifesaving care",,
Preeminent' Constitutional Legal Scholar Files Embarrassingly Confused Amicus Brief In Favor Of Tex,,
Preferred Pronouns or Prison,,
President Biden's COVID-19 Action PlanGÇöWhat Employers Want to Know,,
"Pretty Loud Sounds Coming From Trump's Mar-a-Lago Bathroom Right About Now, We Reckon",,
Primary ballots mailed out this week; voters will choose whether to keep Schrier in 8th District,,
Primary election_ Schrier faces multiple challengers in 8th Congressional District,,
Pronouns in the University Classroom & the First Amendment,,
"Proposal seeks to address health coverage barriers for transgender community, impact uncertain",,
Proposed Amendments to the Associations Incorporations Act 2015,,
Puerto Rico Government Issues New Vaccination Requirements for Additional Business Sectors,,
Puerto Rico Governor Issues Executive Orders Requiring COVID-19 Vaccinations,,
Putting Murderers On The Pill Solves Problems With Lethal Injections,,
Q&A COVID Workplace Vaccine Issues for U.S. Employers,,
Questions remain day after Midtown shooting,,
"Rape, Murder and Mayhem - Just Another Day in the Life of Muslim Women and Girls",,
Regulatory Update_ New Connecticut Statutes Affecting Health Care Providers,,
Religion and Failure to Provide Medical Care for Dying Children,,
Religious Institutions Update_ July 2023,,
Religious liberty lawsuit rejected to be heard by SC of United States of America,,
REPUBLICANS CHALLENGE HHS MEDICATION ABORTION GUIDANCE,,
Republicans Challenge HHS Medication Abortion Guidance; NYC Debuts Abortion Fund; CA AG Issues Priva,,
Required Read For All Employers_ The EEOC Issues Guidance On The Interplay Of Workplace Bias Laws An,,
Return to Work_ Employment Considerations,,
Rightwing Anti-Vaxxers No Longer Big Fans Of Pharmacists Refusing To Fill Prescriptions,,
Rogue Catholic Picked For Holy See Post GÇô OpEd,,
Rolling back Roe v Wade_ How Louisianans lost abortion access,,
"Russia _ Pentecostal Churches Facing Possible Closure, Destruction",,
S. Ct. (5-4) Won't Temporarily Stop N.Y. Ruling that Orthodox Jewish Yeshiva U. Recognize _LGBTQ Stu,,
S. Ct. Unanimously Broadens (Somewhat) Employees' Rights to Religious Exemptions from Neutral Work R,,
Satanic Temple Cites Religious Freedom Restoration Act to Request Access to Abortion Drugs in Afterm,,
Saving Candidate Biden,,
SCOTUS Don't Even Wanna Hear You Christian Pharmacists Whining About Slut Pills,,
"SCOTUS Refuses to Hear Pharmacists' Religious Liberty Case, Over Conservative Dissent",,
"SCOTUS WON'T HEAR CASES ON VACCINE MANDATES, OTHER HEALTH ISSUES",,
Senate Dems To HHS_ Strengthen Nondiscrimination Rule,,
She asked for a drug to treat her miscarriage. The pharmacist refused to give it to her because of h,,
She had a miscarriage - and says a California CVS wouldn't fill a prescription to help her,,
Short Circuit_ A Roundup of Recent Federal Court Decisions,,
Sidney Wolfe_ The Doctors' Doctor For Prevention And Accountability GÇô OpEd,,
Six Indian schoolgirls are protesting a hijab ban on their campus,,
Snooze and Lose_ Defendants Need to Raise Plaintiffs' Failure to File Charge Early in Litigation,,
"So, how far down Despot Lane have State Governors gone - Anecdotes, Part 1",,
Social Media Platforms as Common Carriers_,,
Some In NH Think Suicide Is Another Issue For Government Intervention,,
"Something New in Canada, Thanks to Vaccine Fighter Dr. Mark Trozzi",,
South Africa _ Q&A - Employer COVID-19 Vaccination Policies,,
Stanford Law School Moderates May Be The Biggest Snowflakes Of All,,
"Starbucks Tells Its 228,000 U.S. Employees to Get COVID Vaccine or Face Weekly Testing",,
State's appeal of Stormans Plan B case continues,,
Supreme Court _ Title VII's Requirements Not Jurisdictional,,
Supreme Court Decides Groff v. DeJoy,,
Supreme Court Delivers Blow to Vaccine Skeptics,,
Supreme Court Ruling on Religious Schools Could Imperil Separation of Church and State,,
Supreme Court Stiffens Standard for Religious Accommodations in the Workplace_ What it Means for Emp,,
Supreme Court Unanimously Preserves Access to Mifepristone,,
Supreme Court Update_ Tanzin v. Tanvir (No. 19-71); Carney v. Adams (No. 19-309); United States v. B,,
Supreme Court upholds FDA's approval of abortion pills for early pregnancies,,
Supreme Court won't consider religious liberty challenge to contraceptive delivery,,
Supreme Court won't restrict access to abortion pill,,
Sweeping new vaccine mandates for 100 million Americans,,
Swiss President Flubs Chance To Tamp Down Hostilities In Ukraine GÇô OpEd,,
Teachers Fired For Refusing COVID-19 Vaccine Offered Their Jobs Back In School Settlement,,
Ted Cruz Positively Outraged That The Government Would Interfere With His Reproductive Rights,,
Ted Lieu_ _Marjorie Taylor Greene Has Insane Ideas_,,
Ten Takeaways from Long-Awaited Section 1557 Nondiscrimination Protections,,
Tennessee Passes New COVID-19 Legislation,,
Texas AG Sues Biden HHS Over Forcing Healthcare Providers To Perform Trans Surgeries,,
Texas Forced This Woman to Give Birth to a Stillborn Son. She's Suing,,
Texas has a law that says contractors can't boycott Israel . But a federal judge just blocked it,,
"Texas lawmakers pass controversial bathroom, adoption bills",,
Texas sues to block Biden's abortion medication guidance,,
The Abortion Pill Might Just Stand a Chance at the Supreme Court,,
The Amish_ A Control Group For Technofeudalism GÇô OpEd,,
The Biden administration has helped kill 85 members of my family. Of course I refused to meet with A,,
The Christian Right Is Making Up Wedding Websites to Attack LGBTQ People,,
The Court's Religious Discrimination Reasoning in the Masterpiece Cakeshop Case,,
The Courts and Healthcare Policy,,
The COVID-19 Vaccine_ An Update for Employers,,
The cruelty is the entire point,,
The Debate About the Original Meaning of the Free Exercise Clause,,
The Division in America Is Much Deeper Than You Think _ Opinion,,
The EEOC Releases Guidance on Employer COVID-19 Vaccination Programs,,
The end of Trump's impunity_ Kamala Harris goes directly after his strongest selling point,,
The Gay Wedding Cake Case Isn't About Free Speech,,
The Gift of Religious Freedom,,
The Hypocrisy Oath_ The double standards of American health institutions on Gaza,,
The Next Normal_ A Littler Insight on Returning to Work - EEO Compliance,,
The Obsession With Oppression Stems From an Obsession with Power,,
The Only Way Out Is Through _ Opinion,,
The Peace Processors Turn Against Peace _ Opinion,,
The Pensions Regulator's new criminal powers - how worried should companies and pension scheme trust,,
The Redemption of a Televangelist,,
The Reverse Spider-Man Principle_ With Great Responsibility Comes Great Power,,
The Sleeper SCOTUS Case That Threatens the Separation of Church and State,,
The Sophisticated Bigotry of Bobby Jindal,,
The State of Texas v. Jesus Christ,,
"The Supreme Court - December 10, 2020",,
The Supreme Court Can Restore The Rights of Sabbath-Observing Employees _ Opinion,,
The Supreme Court Probably WonGÇÖt Ban the Abortion Pill,,
"The Supreme Court Update - January 13, 2023",,
The Supreme Court Was Never Meant to Be Kings and Queens,,
The US drug industry used to oppose patents - what changed_,,
The Weaponization of the Free-Exercise Clause,,
Theologians_ Bishops Must Address Biden's Policies That Contradict Church Teaching - Analysis,,
These 5 States Are Doing the Most to Target LGBTQ People,,
